,가스,고철,구멍,드럼,드럼통,뚜껑,머리,바닥,부상,부위,분리,불꽃,산소,상단,상부,압력,용접,용접기,의식,이마,절단,절단기,제거,폭_,폭발,현장
0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,2,1,0,0,6,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0
2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
4,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
5,0,1,3,0,3,1,0,0,0,2,1,0,1,0,0,0,0,0,0,3,0,1,0,1,0,0
6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1
8,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,0,0,0,0,4,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1
16,0,0,0,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
20,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
21,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,0,0,0,0
22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1
24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
25,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
26,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
27,2,0,0,2,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,2,0,0,1
28,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
29,0,1,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
30,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0
31,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
32,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,1,0,1,0
